anos;mes;informacion_mes
2022;Abril;"1 de abril: El legendario luchador The Undertaker fue inducido en la gala de la ceremonia al Salón de la Fama de la WWE. 135​136​137​ Se realizó el sorteo de la fase de grupos de la XXII edición de la Copa Mundial de Fútbol de 2022, en Doha, Catar.138​ Los canales Disney XD, Nat Geo Kids, Star Life, Nat Geo Wild y FXM cesaron sus transmisiones en Latinoamérica, la decisión responde a favor de promocionar la plataforma Disney+, la salida de estos canales dejó a Disney Latinoamérica sólo con Disney Channel, Disney Junior, Star Channel, Nat Geo y los canales de ESPN.139​ El presidente srilankés Gotabaya Rajapaksa declara estado de emergencia por fuertes protestas relacionados con la crisis económica en Sri Lanka. El actor Will Smith presentó su renuncia a la Academia de Hollywood, que otorga los premios Oscar, luego de abofetear al comediante Chris Rock durante la ceremonia del domingo pasado. 140​"
2022;Mayo;1 de mayo: En México, se dejó de emitir el semáforo de riesgo epidémico COVID-19.152​
2022;Junio;5 de junio: Se realizan elecciones en 6 estados en México.
2022;Julio;6 de julio: Iniciará la Eurocopa Femenina en el Reino Unido.
2022;Agosto;7 de agosto: Asunción del 61.° presidente de Colombia, sucesor de Iván Duque Márquez para el periodo 2022-2026.
2022;Septiembre;11 de septiembre: En Suecia se celebrará las elecciones Generales.
2022;Octubre;2 de octubre: En Brasil se celebrará las elecciones generales de Brasil de 2022.
2022;Noviembre;8 de noviembre: En Estados Unidos se celebrarán las elecciones de Medio Mandato al Senado y a la Cámara de Representantes.
2022;Diciembre;12 de diciembre: Se realizará el Festival de la Canción de Eurovisión Junior en Ereván, Armenia.
2021;Enero;2 de enero: Se cumplen 245 años del traslado de la Ciudad de Guatemala a su asentamiento actual.
2021;Febrero;4 de febrero: Se cumplen 30 años de Innuendo, el último álbum de Queen con Freddie Mercury vivo.
2021;Marzo;1 de marzo: Se cumplen 75 años de la Guerra civil griega.
2021;Abril;"6 de abril:
125° Aniversario de los primeros Juegos Olímpicos celebrado en Atenas.
La Selección de fútbol sub-20 de Guatemala conmemora 10 años de haber clasificado al Mundial de esa categoría.
Se cumplen 50 años de la muerte del compositor Ígor Stravinski."
2021;Mayo;2 de mayo: Se cumplen 10 años de la muerte de Osama bin Laden, producto de un asalto por parte de las Fuerzas Armadas de los Estados Unidos, en Afganistán.
2021;Junio;1 de junio: Se cumplen 15 años del fallecimiento de la cantante española y chipionera Rocío Jurado.
2021;Julio;"1 de julio:
Se cumplen 60 años del nacimiento de la princesa Diana de Gales.
Centenario de la fundación del Partido Comunista de China."
2021;Agosto;2 de agosto: Se cumple 25 años del estreno de la película de comedia Matilda.
2021;Septiembre;"1 de septiembre:
Se cumplen 90 años del nacimiento del cantante y actor mexicano Javier Solís.
Se cumplen 60 años de la primera conferencia del Movimiento de Países No Alineados.
Se cumplen 30 años de la independencia de Uzbekistán de la Unión Soviética."
2021;Octubre;"3 de octubre:
Bicentenario de la proclamación del general Simón Bolívar como presidente de la Gran Colombia.
Se cumplen 15 años del anime Death Note."
2021;Noviembre;2 de noviembre: Se cumplen 20 años de la película Animada Monsters, Inc.
2021;Diciembre;"1 de diciembre:
Bicentenario de la Independencia efímera de la República Dominicana.
Se cumplen 500 años de la muerte del papa León X.
Se cumplen 50 años de la Marcha de las Cacerolas Vacías, en Chile.
Se cumple 40 años de la detección del primer caso de VIH/Sida."
2021;Enero;1 de enero:
2021;Marzo;"1 de marzo:
En Puerto Príncipe una fuga de 400 presos deja 25 muertos.116​
Marruecos suspende relaciones diplomáticas con Alemania.117​"
2021;Abril;"2 de abril:
En Hualien, Taiwán un tren descarriló, matando al menos a 51 personas e hiriendo a 186 más.153​
En Washington, Estados Unidos un automóvil embistió la barricada norte frente al Capitolio a lo largo de Constitution Avenue, matando a un oficial de policía e hiriendo a otro. El ataque fue realizado por un seguidor del grupo radical Nación del Islam.154​"
2021;Junio;1 de junio: En Colombia, la policía colombiana extermina a la organización delincuencial Los Caparrapos.
2021;Julio;1 de julio: En Canadá se registra una ola de calor de hasta 50°, es tan fuerte que llegó al Oeste de Estados Unidos, causó incendios forestales en ambos países. Ha dejado hasta el momento 676 muertos en Canadá y más de 226 muertos en Estados Unidos.
2021;Agosto;Lluvias de Mérida, Venezuela. Al menos 20 muertos.
2021;Septiembre;"2 de septiembre: Se reporta la caída a nivel mundial de Instagram los servidores se restablecieron en la noche.208​
En Nueva Zelanda, se produce un atentado terrorista en la ciudad de Auckland, hiriendo a 6 personas."
2021;Octubre;1 de octubre: La Expo 2020 se celebra por primera vez en Dubái.218​
2021;Noviembre;2 de noviembre: En Estados Unidos, los Bravos de Atlanta ganan la Serie Mundial de 2021, luego de 26 años sin obtener ese triunfo.
2020;Enero;"1 de enero:
Se cumplen 20 años del temido efecto 2000 (Y2K), cuya llegada tuvo al mundo en vilo, en especial a los programas informáticos que se iban a resetear a 1900, lo que después no representó un problema importante para el mundo.
Se cumple medio siglo del Tiempo Unix, el cual cuenta los segundos transcurridos desde la medianoche del 1 de enero de 1970.
Se conmemora el 140 aniversario del comienzo de la construcción del canal de Panamá por parte de los Estados Unidos, cuya finalización de la obra se da en 1914, año de su inauguración.
Se recuerda el centenario del comienzo del denominado periodo los Felices Años 20, que culminaría el 29 de octubre de 1929 con la Gran Depresión.
Se conmemora el bicentenario del inicio de las Revoluciones de 1820 y del Trienio Liberal con el pronunciamiento del teniente coronel Rafael del Riego en Cabezas de San Juan contra el Absolutismo de Fernando VII.
Se cumplen 110 años de fundación en la Argentina del club de fútbol Vélez Sarsfield.
El diario mexicano Milenio cumple 20 años de su primera publicación en 2000."
2020;Febrero;"1 de febrero:
Se recuerda 40 años de la última emisión de la serie animada La Pantera Rosa, su primer capítulo se emitió en 1964.
Se celebra el bicentenario de la batalla de Cepeda, donde el gobierno de Buenos Aires fue derrotado por la Liga de los Pueblos Libres, que significó la disolución del gobierno central y el inicio de la Anarquía del Año XX en la actual Argentina."
2020;Marzo;3 de marzo: 20 años del regreso de Augusto Pinochet a Chile, tras ser liberado en Londres.
2020;Abril;2 de abril: 15 años de la muerte del papa Juan Pablo II, en 2005.
2020;Mayo;1 de mayo: 75 años del suicidio del dictador alemán Adolf Hitler, ante el inminente arribo de las tropas soviéticas, hacia la capital alemana Berlín, durante la Segunda Guerra Mundial.
2020;Junio;1 de junio: se cumple 40 años de la fundación del gigante de la noticias mundial con 24 horas de información continua CNN, por parte del multimillonario norteamericano Ted Turner.
2020;Julio;2 de julio: 120 años del primer vuelo del Zeppelin, en Alemania, cuyo último vuelo comercial se realizó 37 años después.
2020;Agosto;2 de agosto: se recuerdan 30 años del inicio de la guerra del Golfo, entre la coalición de las fuerzas armadas de los Estados Unidos y Kuwait, contra las fuerzas armadas de Irak.
2020;Septiembre;"2 de septiembre:
75 años de la firma de la rendición del Imperio japonés a bordo del acorazado USS Missouri de las Fuerzas Armadas de los Estados Unidos en el océano Pacífico, que pone punto final a la Segunda Guerra Mundial.
La Selección de fútbol de Bélgica cumple 100 años desde que ganó un torneo de fútbol."
2020;Octubre;4 de octubre: quincuagésimo aniversario del fallecimiento de la cantante norteamericana Janis Joplin, por sobredosis en 1970.
2020;Noviembre;"1 de noviembre:
Quinto centenario del descubrimiento del Estrecho de Todos los Santos, hoy conocido como estrecho de Magallanes, por parte de expedición de Magallanes-Elcano.
Se cumplen 65 años del comienzo de la guerra de Vietnam, entre las fuerzas armadas survietnamitas apoyadas por los Estados Unidos y fuerzas norvietnamitas, apoyadas por la antigua Unión Soviética, para impedir la expansión del comunismo, en el sur de Asia."
2020;Diciembre;4 de diciembre: Vigésimo aniversario de la muerte de Julián Infante, guitarrista de los grupos Tequila y Los Rodríguez.
2020;Enero;1 de enero: Fallece David Stern, ex-comisionario de la NBA.
2020;Febrero;"2 de febrero:
En Costa Rica, se celebran elecciones municipales.
En Londres, Reino Unido se produce un incidente terrorista. Un yihadista identificado como Sudesh Ammán ataca con un cuchillo a varios transeúntes, dejando 2 heridos antes de ser abatido por la policía. Estado Islámico reivindicó más tarde el atentado."
2020;Abril;"2 de abril:
La cifra de contagios por coronavirus a nivel mundial llega a 1 millón.89​
En Estados Unidos el crucero neerlandés Zaandam, con al menos cuatro muertos y nueve casos de COVID-19 en su interior, fue autorizado para atracar en el Port Everglades (Florida). Esto después de casi un mes en el que una docena de puertos les negaron la autorización.90​"
2020;Mayo;1 de mayo: en Venezuela ocurre el Motín de Guanare, produciendo un saldo de alrededor de 47 muertos y 75 heridos.105​
2020;Junio;"1 de junio:
Fin de las reglas de cuarentena en México, impuestas desde el 20 de marzo y postergadas en varias ocasiones.
En Estados Unidos, se realizan manifestaciones frente a la Casa Blanca por la muerte de George Floyd. Las luces se apagaron toda la noche.129​130​
En la República Democrática del Congo, se registra un nuevo brote de Ébola.131​
En el oeste de Níger, alrededor de 50 motociclistas yihadistas atacan un campo de refugiados de Malí en Intikane, causando tres muertes, incluidos dos malienses (el presidente del Comité de Refugiados y el presidente del Comité de Vigilancia de Refugiados) y 1 Nigerien (el jefe habitual de la agrupación nómada de Tahoua) secuestra a uno de los guardias del campamento, saquea la tienda de alimentos y sabotea el sistema de suministro de agua potable y las antenas telefónicas.132​"
2020;Julio;"1 de julio:
En Brasil un ciclón extratropical afecto la región sur y sudeste, causando la muerte de 10 personas y destruyendo cientos de construcciones en la región.159​
Entra en vigor el T-MEC.160​
Se registra una masacre en un anexo de Irapuato, Guanajuato, México, dejando un saldo preliminar de 26 personas muertas.161​
En Ulán Bator, Mongolia un hombre murió tras el nuevo brote de peste bubónica. Se identificaron 3 casos en el país y uno en China.162​"
2020;Agosto;2 de agosto: toma posesión Irfaan Ali como presidente de Guyana.
2020;Septiembre;"1 de septiembre:
En Colombia inicia el aislamiento selectivo con la reactivación de restaurantes y bares en el país.
Rusia supera la cifra de 1 millón de infectados por COVID-19, siendo el cuarto país del mundo en superar esa cifra237​"
2020;Noviembre;"1 de noviembre:
En Belice se celebran elecciones generales.
Elecciones presidenciales de Moldavia de 2020.
Reino Unido supera la cifra de 1 millón de contagios acumulados por COVID-19, siendo este el noveno país en superar esta cifra."
2020;Diciembre;1 de diciembre: Turquía se convierte en la 13.ª nación en superar la cifra de 1 millón de contagios acumulados por COVID-19.
2019;Enero;"1 de enero:
60 años del triunfo de la Revolución cubana, liderada por Fidel Castro, para derrocar a Fulgencio Batista.
Se cumplen 25 años del levantamiento del Ejército Zapatista de Liberación Nacional (EZLN) con la toma de San Cristóbal de las Casas.
Se cumplen 25 años de la privatización del área de operaciones del Subte de Buenos Aires. Desde esa fecha, Metrovías se encarga de dicho rubro."
2019;Febrero;2-3 de febrero: 30 años del golpe de Estado en Paraguay de 1989 que derrocó al dictador Alfredo Stroessner.
2019;Marzo;2 de marzo: se cumplen 60 años del Canal Once. Primera estación de televisión cultural en México y América Latina.
2019;Abril;1 de abril: se cumplen 80 años del final de la guerra civil española, iniciada en 1936 y del inicio del Franquismo.
2019;Mayo;"1 de mayo:
Vigésimo quinto aniversario del trágico fallecimiento del piloto brasileño de Fórmula 1 Ayrton Senna en la pista de Imola, Italia en 1994.
Se cumplen 20 años del estreno de la serie de dibujos animados Bob Esponja."
2019;Junio;1 de junio: En El Salvador, Nayib Bukele, asume la presidencia de la República.
2019;Julio;2 de julio: se cumplen 25 años del asesinato al exjugador de la selección de fútbol de Colombia, Andrés Escobar
2019;Agosto;2 de agosto: se cumplen 40 años de la muerte del pensador Víctor Raúl Haya de la Torre, ocurrido en 1979.
2019;Septiembre;1 de septiembre: 80 años del comienzo de la Segunda Guerra Mundial, iniciada con la invasión a Polonia por parte de la Alemania nazi
2019;Octubre;"1 de octubre:
Se recuerdan 70 años de la fundación de la República Popular China por Mao Tse-tung en 1949.
Se cumplen 2 años del intento de declaración de la independencia de Cataluña en España."
2019;Noviembre;3 de noviembre: centenario del fallecimiento del escritor peruano Abraham Valdelomar en Ayacucho.
2019;Diciembre;"1 de diciembre: el Complejo Cultural ""Los Pinos"" cumple 1 año de su apertura al público."
2019;Febrero;"1 de febrero:
En México se registra un sismo de 6.5 MW con epicentro en Chiapas, lográndose percibir en Guatemala y El Salvador, así como al sur y centrosur de México, sin dejar daños ni víctimas.
Una veintena de activistas independentista de la ANC irrumpen y atacan la sede de la Comisión Europea en Barcelona, para entregar una carta dirigida a Jean-Claude Juncker.34​"
2019;Abril;2 de abril: Abdelaziz Bouteflika dimitió como presidente de Argelia tras 20 años de mandato. Abdelkader Bensalah asume la presidencia de forma interina.72​
2019;Mayo;1 de mayo: el príncipe Naruhito es investido con los Tres Tesoros Sagrados de la familia imperial, convirtiéndose en el 126.° emperador de Japón.
2019;Junio;"1 de junio:
En Madrid el Liverpool FC conquista su sexta UEFA Champions League.
En San Salvador, Nayib Bukele juró como presidente de El Salvador para el periodo 2019-2024."
2019;Agosto;1 de agosto: en Nuakchot, Mohamed Uld Ghazouani jura como presidente de Mauritania para el período 2019-2024.105​106​
2019;Septiembre;"1 de septiembre:
El Presidente de México, Andrés Manuel López Obrador, rinde su primer informe de gobierno presidencial en Palacio Nacional acerca de su gestión y los logros en los últimos 9 meses (de diciembre de 2018 hasta agosto de 2019).
En las Bahamas el Huracán Dorian toca tierra, con velocidades de viento sostenidas de 185 mph dejando un saldo de 43 muertos y daños materiales.113​114​"
2019;Octubre;"1 de octubre:
En Taiwán un puente se derrumba sobre un río luego de que un camión pasara sobre el, se contabilizan 10 heridos.
Se produce la fuga de Aída Merlano en un consultorio odontológico en el norte de Bogotá.
En Pekín se celebra un desfile militar y cívico en celebración del 70.° aniversario de la República Popular China."
2019;Noviembre;5 de noviembre: en México asesinan a 9 miembros de una familia de mormones de nacionalidad estadounidense en un violento ataque que se sospecha podría haber sido perpetrado por sicarios del crimen organizado.
2019;Diciembre;1 de diciembre: en Estados Unidos al menos 11 personas resultan heridas en Canal Street, en las afueras del Barrio Francés de Nueva Orleans tras un tiroteo con armas de fuego.154​
2018;Marzo;"4 de marzo:
En Italia se celebran elecciones generales.
En El Salvador se llevan a cabo elecciones municipales y legislativas."
2018;Abril;1 de abril: segunda vuelta de las elecciones presidenciales de Costa Rica. Carlos Alvarado se impone sobre Fabricio Alvarado.
2018;Mayo;"3 de mayo:
La organización terrorista vasca ETA anuncia su disolución, por lo que deja de existir oficialmente.14​
Entra en erupción el volcán Kilahuea en la zona de Leilani Estates, en la isla grande de Hawáii."
2018;Agosto;2 de agosto: en Perú se realiza un paro distrital en Paramonga.
2018;Septiembre;1 de septiembre: en México, entra en funciones la LXIV Legislatura conformada por diputados y senadores electos en las elecciones del 1 de julio. Es la primera vez en la historia del país en que partidos de izquierda obtienen la mayoría en ambas cámaras.26​
2017;Febrero;1 de febrero: el Parlamento británico aprueba la vía de salida del Reino Unido de la Unión Europea.
2017;Marzo;1 de marzo: en Colombia, la guerrilla de las FARC (Fuerzas Armadas Revolucionarias de Colombia) inician proceso de entrega de armas a la ONU.
2017;Abril;"1 de abril:
El Gobierno de Irak logra terminar con la vida del «número dos» de la banda terrorista Estado Islámico, en un ataque de la Fuerza Aérea Iraquí, realizado en el pueblo de Al Qaim, el cual pertenece a la Gobernación de Ambar y está ubicado junto a la frontera con Siria.75​
Un curandero místico con trastornos mentales mata a 20 personas en el templo sufí Ali Muhammad Gujjar de Sargodha, ciudad del centro de Pakistán."
2017;Mayo;1 de mayo: en Venezuela el presidente Nicolás Maduro anuncia una Asamblea constituyente.
2017;Junio;"1 de junio:
Tiroteo en un hotel casino en Manila, capital de las Filipinas, dejando decenas de fallecidos y heridos. El grupo terrorista Estado Islámico se adjunte la autoridad.
El presidente de los Estados Unidos, Donald Trump, retira a los Estados Unidos del Acuerdo de París contra el cambio climático."
2017;Julio;"1 de julio:
Estonia asume la presidencia de turno de la Unión Europea.
Un sismo de magnitud 6,3 sacude la costa de la Provincia de Manabí en Ecuador.119​
El etíope Tedros Adhanom sucede a Margaret Chan como Director General de la OMS.
El Tour de Francia comienza en Düsseldorf, Alemania."
2017;Agosto;"1 de agosto:
Vuelven a la Cárcel de Ramo Verde el dirigente opositor Leopoldo López y el ex alcalde de Caracas, Antonio Ledezma.
El grupo de hackactivistas venezolanos The Binary Guardians hackearon la página web principal del Consejo Nacional Electoral junto a otras páginas importantes del gobierno, incluyendo el portal web oficial del canal de televisión estatal Venezolana de Televisión.
En los Estados Unidos, el Senado designa al abogado Christopher Wray como nuevo director del FBI.
El ministro de Petróleo de Pakistán, Shahid Khaqan Abbasi, sucede a Nawaz Sharif en el cargo de primer ministro tras la inhabilitación del jefe del Gobierno por parte del Tribunal Supremo del país."
2017;Noviembre;1 de noviembre: se levanta el Estado de Emergencia en Francia después de dos años.
2017;Diciembre;8 de diciembre: el ataque de un grupo rebelde en la República Democrática del Congo deja 14 cascos azules muertos y otros 53 heridos (todos del ejército de Tanzania).
2016;Julio;1-2 de julio: 6 hombres armados entran a una panadería-restaurante en Daca, capital de Bangladés, y toman decenas de rehenes, crisis que finaliza varias horas más tarde tras enfrentarse a la policía, logrando ser abatidos y uno herido, y dejando a 20 personas muertas y 50 heridos. El Estado Islámico se adjudicó el ataque, pero las autoridades lo atribuyeron a Jamaat-ul-Mujahideen Bangladés.72​
2016;Septiembre;9 de septiembre: La banda Skillet publica la canción stars
2016;Octubre;2 de octubre: triunfo del No en el plebiscito sobre los acuerdos de paz de Colombia.
2015;Enero;"1 de enero: Lituania ingresa en la eurozona mientras que Letonia asume la presidencia del Consejo de la Unión Europea.
Inicia el 2.º el mandato de Dilma Rousseff."
2015;Marzo;1 de marzo: Tabaré Vázquez se convierte por segunda vez en presidente de Uruguay.49​
2015;Abril;2 de abril: se produce una masacre en la Universidad de Garissa, en Kenia, de manos de Al-Shabbaab y que de acuerdo con la información oficial el número de víctimas se ubica en 152 personas, en su mayoría estudiantes que yacían sin vida dentro del recinto.53​
2015;Mayo;1 de mayo: comienza la Exposición Internacional de Milán.
2015;Junio;2 de junio: en España, se diagnostica difteria a un niño de once años no vacunado. Se trata del primer caso de la enfermedad en el país europeo desde 1987.75​
2015;Julio;1 de julio: los reyes de España, Felipe VI y Letizia, concluyen su visita de Estado a México, tras tres días de estancia en el país americano.88​
2013;Enero;1 de enero: Irlanda asume la presidencia semestral de la Unión Europea.
2013;Febrero;1 de febrero: un atentado suicida contra la embajada de los Estados Unidos en Ankara (Turquía) deja tres víctimas mortales.17​
2013;Abril;2 de abril: el canal de noticias de República Dominicana, CDN canal 37, cambia de nombre por NCDN, la periodista Nuria Piera asume el cargo como directora y producción del canal.
2013;Mayo;2 de mayo: el papa emérito Benedicto XVI deja Castel Gandolfo para regresar a la Ciudad del Vaticano de donde partió el pasado 28 de febrero al hacerse efectiva su renuncia, ya que todo estaba listo en el antiguo monasterio de Mater Ecclesiae de clausura que fue remodelado para convertirse en su residencia. El regreso de Benedicto XVI supone un hecho histórico, ya que es la primera vez que un papa emérito convive en la Ciudad del Vaticano con el sumo pontífice actual.63​
2013;Junio;6 de junio: los diarios The Washington Post y The Guardian publican las primeras filtraciones de Edward Snowden sobre los sistemas de vigilancia masiva de la Agencia de Seguridad Nacional.
2013;Agosto;3 de agosto: en Teherán (Irán), Hasán Rouhaní asume la presidencia de Irán, tras resultar ganador en las pasadas elecciones de junio.
2013;Septiembre;4 de septiembre: se emite el último capítulo de la serie de Matt Groening y David X. Cohen, (Futurama).
2013;Octubre;3 de octubre: en la isla de Lampedusa (Italia) mueren al menos 339 inmigrantes al hundirse una barca.
2013;Noviembre;7 de noviembre: elecciones generales en las islas Malvinas.
2013;Diciembre;3-10 de diciembre: paro de policías en Argentina por reclamo salarial deja despejadas las calles a la delincuencia, habiendo saqueos, barricadas en barrios y enfrentamientos armados que dejan 18 muertos.
2013;Premio Nadal;Sergio Vila-Sanjuán
2013;Febrero;19 de febrero: Kim Ju-ae, la hija del actual dirigente de la República Popular Democrática de Corea, fruto de su relación con la cantante Ri Sol-ju.
2013;Mayo;10 de mayo: Taufaʻahau Manumataongo, es un miembro de la realeza de Tonga, segundo en la línea de sucesión al trono de Tonga.
2013;Julio;22 de julio: Jorge de Cambridge, el hijo primogénito de los duques de Cambridge Guillermo y Catalina.
2012;Enero;"1 de enero:
En Nigeria, conflictos por tierras dejan saldo de al menos 50 muertos.3​
En Colombia toman posesión de cargo alcaldes y gobernadores de las principales ciudades y departamentos del país."
2012;Febrero;1 de febrero: El peor desastre del fútbol egipcio deja 80 muertos y 248 heridos en Port Said después de que miles de seguidores de dos equipos rivales se enfrentaran al final del partido entre Al-Masry y Al-Ahly causando revueltas populares.22​
2012;Marzo;"2 de marzo:
En Irán se celebran elecciones parlamentarias; el régimen iraní no permitió la inscripción de la mayoría de los candidatos de la oposición reformista democrática, por lo que en los comicios participaron principalmente las dos facciones enfrentadas en las que se ha dividido el oficialismo ultraconservador: los partidarios del líder supremo Alí Jamenei, que obtuvieron una victoria aplastante, y los del presidente Mahmud Ahmadineyad, que sufrió una humillante derrota, mientras que la oposición reformista, que había llamado a la abstención, denunció que el régimen había inflado falsamente la cifra de participación.35​
En Bruselas los jefes de Estado y de Gobierno de todos los países de la Unión Europea ―excepto el Reino Unido y la República Checa― firman un tratado de austeridad fiscal acordado en principio hace tres meses y que obliga a los países firmantes a cumplir una drástica y rígida disciplina en sus cuentas públicas para atajar la crisis de la deuda soberana y tratar de evitar una debacle económica.36​"
2012;Abril;"1 de abril:
En Malí, luego de ocupar las ciudades de Kidal y Gao, los guerrilleros secesionistas tuaregs conquistan la histórica ciudad de Tombuctú después de que los soldados del Ejército regular de Malí huyeran y de que una milicia árabe local pro-gubernamental se rindiera ante los rebeldes; con esta victoria los rebeldes independentistas controlan prácticamente la totalidad del norte del país, lo que preocupa a la comunidad internacional que teme que Al Qaeda aproveche para convertir la región en una base de operaciones.50​
en Birmania se celebran elecciones parlamentarias parciales para cubrir una parte relativamente pequeña de los escaños al Parlamento birmano; la oposición democrática contraria al régimen militar arrasa en los comicios y su líder, la Premio Nobel de la Paz Aung San Suu Kyi, es electa diputada.51​"
2012;Mayo;"3 de mayo: En Reino Unido se celebran elecciones municipales en varias regiones del país; el opositor Partido Laborista de centro-izquierda obtiene importantes victorias, aunque el oficialista Partido Conservador logra también una victoria significativa al retener la Alcaldía de la capital Londres.69​70​71​"
2012;Junio;"1 de junio:
En Arrah (India), seis hombres no identificados asesinan a Brahmeshwar Singh (64) ―líder de la banda terrorista de derechas Ranvir Sena―, quien había estado nueve años en prisión perpetua acusado de varias masacres contra personas de casta baja, pero en abril de 2012 fue absuelto y puesto en libertad.
En Venezuela, se crea la Academia Militar de Oficiales de Tropa Comandante en Jefe Hugo Rafael Chávez Frías, perteneciente a la Universidad Militar Bolivariana de Venezuela, que forma oficiales de comando de tropa de la Fuerza Armada Nacional Bolivariana (FANB)."
2012;Julio;"1 de julio:
Entra en vigor el Mecanismo Europeo de Estabilidad (MEDE).
Elecciones presidenciales en México. Triunfa el candidato del PRI-PVEM, Enrique Peña Nieto sobre el candidato opositor Andrés Manuel López Obrador, quien sería su sucesor en 2018."
2012;Agosto;En Rusia, nace la primera liligresa del mundo (un híbrido entre león y ligresa).105​
2012;Septiembre;1 de septiembre: Acroarte anunció el nuevo nombre de los premios, llamado Premios Soberano tras la decisión de una disputa contra la familia Damirón quien utilizó el nombre de la premiación por 28 años.
2012;Enero;"24 de enero: Atenea de Dinamarca, la cuarta hija del príncipe Joaquín de Dinamarca; la segunda con su actual esposa Marie de Dinamarca. Es hermana del príncipe Enrique de Dinamarca y medio hermana paterna de los príncipes Nicolás y Félix de Dinamarca."
2012;Febrero;23 de febrero: Estela de Suecia, hija primogénita de Victoria de Suecia y de Daniel Westling.
2012;Marzo;29 de marzo: Isla Elizabeth Phillips, miembro de la Familia Real Británica.
2012;Septiembre;26 de septiembre: Kim Ji-yoo, actriz surcoreana.
2011;Enero;1 de enero: Estonia adopta el euro como moneda oficial.
2011;Marzo;6 de marzo: en Texas (Estados Unidos), un jurado condena al gurú krisnaísta india Prakashanand Sáraswati (n. 1929) por abusar de menores en los años ochenta y noventa. Dos días después sus discípulas lo sacarán del país (hasta el día de hoy se encuentra prófugo).
2011;Abril;2 de abril: en España, el presidente del gobierno José Luis Rodríguez Zapatero anuncia que no se presentará a las elecciones generales de 2012, pidiendo al partido que convoque primarias para elegir al candidato después de las elecciones municipales del 22 de mayo.
